epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,28.6484,0.75574,0.98995,1.13536,0.79684,0.45,0.51886,0.24565,1.69235,2.15476,1.41494,1.43596e-05,1.43596e-05,1.43596e-05
89,28.9463,0.65519,0.69637,1.15317,0.79684,0.45,0.51886,0.24565,1.69235,2.15476,1.41494,1.34879e-05,1.34879e-05,1.34879e-05
90,29.2626,0.82275,0.71775,1.10438,0.79684,0.45,0.51886,0.24565,1.69235,2.15476,1.41494,1.25927e-05,1.25927e-05,1.25927e-05
91,29.8321,0.56181,0.49284,1.046,0.79684,0.45,0.51886,0.24565,1.69235,2.15476,1.41494,1.16739e-05,1.16739e-05,1.16739e-05
92,30.1681,0.46029,0.48274,0.85413,0.84117,0.4639,0.51829,0.24868,1.6669,2.16789,1.41465,1.07315e-05,1.07315e-05,1.07315e-05
93,30.4631,0.46635,0.48679,0.95105,0.84117,0.4639,0.51829,0.24868,1.6669,2.16789,1.41465,9.76562e-06,9.76562e-06,9.76562e-06
94,30.7499,0.60627,0.6119,1.11611,0.84117,0.4639,0.51829,0.24868,1.6669,2.16789,1.41465,8.77613e-06,8.77613e-06,8.77613e-06
95,31.0424,0.55002,0.65317,1.05419,0.84117,0.4639,0.51829,0.24868,1.6669,2.16789,1.41465,7.76308e-06,7.76308e-06,7.76308e-06
96,31.3433,0.82042,0.73323,1.19044,0.85697,0.46249,0.52208,0.24676,1.66719,2.06603,1.40198,6.72648e-06,6.72648e-06,6.72648e-06
97,31.6493,0.52031,0.44512,0.89571,0.85697,0.46249,0.52208,0.24676,1.66719,2.06603,1.40198,5.6663e-06,5.6663e-06,5.6663e-06
98,31.9326,0.50924,0.5936,0.98124,0.85697,0.46249,0.52208,0.24676,1.66719,2.06603,1.40198,4.58257e-06,4.58257e-06,4.58257e-06
99,32.2118,0.51671,0.52797,0.97206,0.85697,0.46249,0.52208,0.24676,1.66719,2.06603,1.40198,3.47528e-06,3.47528e-06,3.47528e-06
100,32.5032,0.45181,0.42723,0.93565,0.86397,0.44798,0.53191,0.28581,1.68813,1.96223,1.40971,2.34442e-06,2.34442e-06,2.34442e-06
